2000,loopme.me,HTTPS only
3000,spotim.market,HTTPS only
4000,hbs.edu,neither
5000,bhg.com,HTTPS only
6000,worldstarhiphop.com,both
7000,huedatastore.com,neither
8000,tokyo-sports.co.jp,HTTPS only
9000,988lifeline.org,HTTPS only
10000,kolkataff.fun,HTTPS only
11000,logitechg.com,HTTPS only
12000,udemycdn.com,HTTP only
13000,doh.pub,HTTPS only
14000,dnse0.com,neither
15000,darkreading.com,HTTPS only
16000,wadax-sv.jp,neither
17000,merckmanuals.com,HTTPS only
18000,harpers.org,HTTPS only
19000,4gamer.net,HTTPS only
20000,mangatown.com,HTTPS only
21000,guardingvisionru.com,neither
22000,videos-zoofilia.com,HTTPS only
23000,keonhacai5.top,HTTPS only
24000,tobii.com,HTTPS only
25000,routeviews.org,HTTPS only
26000,wbez.org,HTTPS only
27000,engie.fr,HTTPS only
28000,acertb.com,HTTPS only
29000,trinet.com,HTTPS only
30000,incometaxgujarat.org,HTTPS only
31000,monetizer101.com,both
32000,ast-innovation.ru,HTTPS only
33000,fair.org,HTTPS only
34000,enjin.com,HTTPS only
35000,mttnow.com,both
36000,usm.my,neither
37000,tds.bid,HTTPS only
38000,cradlepoint.com,HTTPS only
39000,marketbusinessnews.com,HTTPS only
40000,cloudplatform.fi,HTTPS only
41000,plat.fi,neither
42000,sfist.com,HTTPS only
43000,crossword-solver.io,HTTPS only
44000,vfghe.com,neither
45000,chub.ai,HTTPS only
46000,superteacherworksheets.com,HTTPS only
47000,seaofthieves.com,HTTPS only
48000,heownouncillor.com,HTTPS only
49000,mappls.com,HTTPS only
50000,localsyr.com,HTTPS only
51000,cybcode.net,HTTPS only
52000,mobil.com,HTTPS only
53000,aroma-zone.com,HTTPS only
54000,dailynayadiganta.com,HTTPS only
55000,amplimed.com.br,HTTPS only
56000,theyworkforyou.com,HTTPS only
57000,ssi.com.vn,HTTPS only
58000,wwewlxdako.net,neither
59000,paddypower.it,HTTPS only
60000,clubessential.com,HTTPS only
61000,buhl.de,HTTPS only
62000,dattoweb.com,neither
63000,fiskerinc.com,HTTPS only
64000,pawrade.com,HTTPS only
65000,fuckhardclips.com,HTTPS only
66000,flowsense.net,neither
67000,johnshopkins.edu,neither
68000,cibeg.com,HTTP only
69000,rapgenius.com,HTTPS only
70000,pg21.ru,HTTPS only
71000,awsdns-cn-38.com,neither
72000,okusurinavi.shop,HTTPS only
73000,nyugat.hu,HTTPS only
74000,moya-semya.ru,HTTP only
75000,ilimnet.ru,HTTPS only
76000,academie-francaise.fr,HTTPS only
77000,mandy.com,HTTPS only
78000,beetux.com,HTTPS only
79000,laredoute.it,HTTPS only
80000,mobileverso.com.br,HTTPS only
81000,moneta.cz,HTTPS only
82000,bitrix24site.ru,HTTPS only
83000,xnxx123.net,HTTPS only
84000,cyberresilience.io,HTTPS only
85000,neko-hentai.net,HTTPS only
86000,misterrunning.com,HTTPS only
87000,indianxxxbf.com,HTTPS only
88000,podari-zhizn.ru,HTTPS only
89000,spectr-sb116.ru,both
90000,only-znakomstva.com,neither
91000,gamewatcher.com,HTTPS only
92000,gerberchildrenswear.com,HTTPS only
93000,ipasgo.go.gov.br,HTTPS only
94000,uberlandia.mg.gov.br,neither
95000,delhihighcourt.nic.in,neither
96000,scaledagile.com,HTTPS only
97000,theacademicpapers.co.uk,HTTPS only
98000,charmfling.com,HTTPS only
99000,pskw.com,neither
100000,bluesip.net,HTTPS only
101000,qubic.li,HTTPS only
102000,iress.co.uk,HTTPS only
103000,corp.life,both
104000,omp.ru,HTTPS only
