2000,loopme.me,both,204
3000,spotim.market,HTTPS only,200
4000,hbs.edu,neither,
5000,bhg.com,HTTPS only,200
6000,worldstarhiphop.com,HTTPS only,200
7000,huedatastore.com,neither,
8000,tokyo-sports.co.jp,HTTPS only,200
9000,988lifeline.org,HTTPS only,200
10000,kolkataff.fun,HTTPS only,200
11000,logitechg.com,HTTPS only,200
12000,udemycdn.com,neither,
13000,doh.pub,HTTPS only,200
14000,dnse0.com,neither,
15000,darkreading.com,HTTPS only,200
16000,wadax-sv.jp,neither,
17000,merckmanuals.com,HTTPS only,200
18000,harpers.org,HTTPS only,200
19000,4gamer.net,HTTPS only,200
20000,mangatown.com,HTTPS only,200
21000,guardingvisionru.com,neither,
22000,videos-zoofilia.com,HTTPS only,200
23000,keonhacai5.top,HTTPS only,200
24000,tobii.com,HTTPS only,200
25000,routeviews.org,both,200
26000,wbez.org,HTTPS only,200
27000,engie.fr,HTTPS only,200
28000,acertb.com,HTTPS only,200
29000,trinet.com,HTTPS only,200
30000,incometaxgujarat.org,HTTPS only,200
31000,monetizer101.com,HTTP only,400
32000,ast-innovation.ru,HTTPS only,403
33000,fair.org,HTTPS only,200
34000,enjin.com,HTTPS only,200
35000,mttnow.com,HTTP only,200
36000,usm.my,neither,
37000,tds.bid,HTTPS only,200
38000,cradlepoint.com,HTTPS only,200
39000,marketbusinessnews.com,HTTPS only,200
40000,cloudplatform.fi,HTTPS only,200
41000,plat.fi,neither,
42000,sfist.com,HTTPS only,200
43000,crossword-solver.io,HTTPS only,200
44000,vfghe.com,neither,
45000,chub.ai,HTTPS only,403
46000,superteacherworksheets.com,HTTPS only,200
47000,seaofthieves.com,HTTPS only,200
48000,heownouncillor.com,both,204
49000,mappls.com,HTTPS only,200
50000,localsyr.com,HTTPS only,200
51000,cybcode.net,both,204
52000,mobil.com,HTTPS only,200
53000,aroma-zone.com,HTTPS only,200
54000,dailynayadiganta.com,HTTPS only,200
55000,amplimed.com.br,HTTPS only,200
56000,theyworkforyou.com,HTTPS only,200
57000,ssi.com.vn,both,403
58000,wwewlxdako.net,neither,
59000,paddypower.it,HTTPS only,403
60000,clubessential.com,HTTPS only,200
61000,buhl.de,both,200
62000,dattoweb.com,neither,
63000,fiskerinc.com,both,200
64000,pawrade.com,HTTPS only,200
65000,fuckhardclips.com,both,200
66000,flowsense.net,neither,
67000,johnshopkins.edu,neither,
68000,cibeg.com,HTTP only,200
69000,rapgenius.com,HTTPS only,200
70000,pg21.ru,HTTPS only,200
71000,awsdns-cn-38.com,neither,
72000,okusurinavi.shop,HTTPS only,403
73000,nyugat.hu,both,403
74000,moya-semya.ru,HTTP only,200
75000,ilimnet.ru,HTTPS only,200
76000,academie-francaise.fr,HTTPS only,200
77000,mandy.com,HTTPS only,200
78000,beetux.com,HTTPS only,200
79000,laredoute.it,HTTPS only,403
80000,mobileverso.com.br,HTTPS only,403
81000,moneta.cz,HTTPS only,200
82000,bitrix24site.ru,HTTPS only,200
83000,xnxx123.net,HTTPS only,200
84000,cyberresilience.io,HTTPS only,200
85000,neko-hentai.net,HTTPS only,403
86000,misterrunning.com,HTTPS only,200
87000,indianxxxbf.com,HTTPS only,200
88000,podari-zhizn.ru,HTTPS only,200
89000,spectr-sb116.ru,HTTP only,200
90000,only-znakomstva.com,neither,
91000,gamewatcher.com,HTTPS only,200
92000,gerberchildrenswear.com,HTTPS only,200
93000,ipasgo.go.gov.br,neither,
94000,uberlandia.mg.gov.br,neither,
95000,delhihighcourt.nic.in,neither,
96000,scaledagile.com,HTTPS only,403
97000,theacademicpapers.co.uk,HTTPS only,200
98000,charmfling.com,HTTPS only,200
99000,pskw.com,neither,
100000,bluesip.net,HTTP only,200
101000,qubic.li,both,403
102000,iress.co.uk,HTTPS only,200
103000,corp.life,HTTP only,200
104000,omp.ru,both,403
105000,kitakyushu.lg.jp,neither,
106000,gnpge.com,neither,
107000,onerpm.com,HTTPS only,200
108000,hagel-shop.de,HTTPS only,200
109000,hp-mns.com,both,200
110000,turismoroma.it,HTTPS only,200
111000,eoi.es,HTTPS only,200
112000,oh100.com,HTTP only,200
113000,searchy.biz,HTTP only,200
114000,dzrt.com,HTTPS only,200
115000,loose-gene.com,HTTPS only,200
116000,optasports.com,neither,
117000,hookupguru.com,HTTPS only,200
118000,cccd.edu,neither,
119000,ridicdn.net,neither,
120000,pibig.info,both,200
121000,xvidiu.pro,HTTPS only,200
122000,saga.lg.jp,neither,
123000,rastrnet.ru,both,200
124000,wikijm.com,HTTPS only,200
125000,rmu.edu,HTTPS only,200
126000,budgetyourtrip.com,HTTPS only,200
127000,duoprime.xyz,neither,
128000,thecloudwebsiteserver.com,neither,
129000,staffordshire.gov.uk,HTTPS only,200
130000,blossoms.com,HTTPS only,200
131000,onlinetopchoice.com,HTTPS only,200
132000,korrelate.net,neither,
133000,snblymm.com,neither,
134000,3sktr.vip,HTTPS only,200
135000,pandi.or.id,neither,
136000,lottovip2023.com,HTTPS only,200
137000,uwtsd.ac.uk,HTTPS only,200
138000,ligatotomega.com,HTTPS only,200
139000,improd.top,both,204
140000,monster-it.net,HTTPS only,200
141000,sunriseseniorliving.com,HTTPS only,200
142000,gruv.com,HTTPS only,200
143000,basicincome.org,HTTPS only,200
144000,miinps.com,HTTP only,200
145000,idc.ac.il,HTTPS only,200
146000,fishpond.com.au,HTTPS only,200
147000,gflex.nl,HTTPS only,200
148000,cancercouncil.com.au,HTTPS only,403
149000,mazucdn.com,HTTP only,200
150000,r34porn.net,HTTPS only,200
151000,elevationchurch.org,HTTPS only,200
152000,dermaniaplus.com,both,200
153000,nea.org.np,HTTPS only,200
154000,nimiq.agency,HTTPS only,436
155000,e-kamone.com,neither,
156000,jetfilm.cam,HTTP only,404
157000,telekom-mms.com,HTTPS only,200
158000,ishigaki.co.jp,HTTPS only,200
159000,moola.market,HTTPS only,200
160000,akson.ru,HTTPS only,200
161000,stats-tracker.net,both,200
162000,ylmmuy.com,neither,
163000,pierreherme.com,HTTPS only,200
164000,mostbethu.net,HTTPS only,200
165000,spears.top,HTTP only,200
166000,frenet.com.br,HTTPS only,200
167000,hindiyoupornx.com,HTTPS only,200
168000,wiz.money,both,403
