1,google.com,Google Trust Services LLC,83,EC,256,none,b'sha256WithRSAEncryption'
2,facebook.com,DigiCert Inc,90,EC,256,none,b'sha256WithRSAEncryption'
5,microsoft.com,Microsoft Corporation,360,RSA,2048,65537,b'sha384WithRSAEncryption'
6,googleapis.com,Google Trust Services LLC,83,EC,256,none,b'sha256WithRSAEncryption'
7,apple.com,Apple Inc.,90,EC,256,none,b'ecdsa-with-SHA256'
8,youtube.com,Google Trust Services LLC,83,EC,256,none,b'sha256WithRSAEncryption'
11,twitter.com,DigiCert Inc,364,RSA,2048,65537,b'sha256WithRSAEncryption'
12,instagram.com,DigiCert Inc,90,EC,256,none,b'sha256WithRSAEncryption'
14,azure.com,Microsoft Corporation,360,RSA,2048,65537,b'sha384WithRSAEncryption'
15,gstatic.com,Google Trust Services LLC,83,EC,256,none,b'sha256WithRSAEncryption'
16,cloudflare.com,"Cloudflare, Inc.",336,EC,256,none,b'ecdsa-with-SHA256'
17,linkedin.com,DigiCert Inc,182,RSA,2048,65537,b'sha256WithRSAEncryption'
18,live.com,DigiCert Inc,366,RSA,2048,65537,b'sha256WithRSAEncryption'
20,office.com,Microsoft Corporation,360,RSA,2048,65537,b'sha384WithRSAEncryption'
21,doubleclick.net,Google Trust Services LLC,83,EC,256,none,b'sha256WithRSAEncryption'
24,googletagmanager.com,Google Trust Services LLC,83,EC,256,none,b'sha256WithRSAEncryption'
25,netflix.com,DigiCert Inc,365,EC,256,none,b'ecdsa-with-SHA256'
27,fbcdn.net,DigiCert Inc,90,RSA,2048,65537,b'sha256WithRSAEncryption'
28,amazon.com,DigiCert Inc,251,RSA,2048,65537,b'sha256WithRSAEncryption'
31,wikipedia.org,Let's Encrypt,89,EC,256,none,b'sha256WithRSAEncryption'
32,bing.com,Microsoft Corporation,158,RSA,2048,65537,b'sha384WithRSAEncryption'
33,fastly.net,GlobalSign nv-sa,396,RSA,2048,65537,b'sha256WithRSAEncryption'
34,icloud.com,Apple Inc.,90,EC,256,none,b'ecdsa-with-SHA256'
35,googleusercontent.com,Google Trust Services LLC,83,EC,256,none,b'sha256WithRSAEncryption'
38,wordpress.org,Sectigo Limited,396,EC,256,none,b'ecdsa-with-SHA256'
41,youtu.be,Google Trust Services LLC,83,EC,256,none,b'sha256WithRSAEncryption'
