78000,beetux.com,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
79000,laredoute.it,Google Trust Services LLC,90,RSA,2048,65537,b'sha256WithRSAEncryption'
80000,mobileverso.com.br,Google Trust Services LLC,89,RSA,2048,65537,b'sha256WithRSAEncryption'
81000,moneta.cz,DigiCert Inc,365,RSA,2048,65537,b'sha256WithRSAEncryption'
82000,bitrix24site.ru,"GoDaddy.com, Inc.",397,RSA,2048,65537,b'sha256WithRSAEncryption'
83000,xnxx123.net,Google Trust Services LLC,89,RSA,2048,65537,b'sha256WithRSAEncryption'
84000,cyberresilience.io,Google Trust Services LLC,90,RSA,2048,65537,b'sha256WithRSAEncryption'
85000,neko-hentai.net,"Cloudflare, Inc.",365,EC,256,none,b'ecdsa-with-SHA256'
86000,misterrunning.com,Sectigo Limited,366,RSA,2048,65537,b'sha256WithRSAEncryption'
87000,indianxxxbf.com,Google Trust Services LLC,89,RSA,2048,65537,b'sha256WithRSAEncryption'
88000,podari-zhizn.ru,Google Trust Services LLC,89,RSA,2048,65537,b'sha256WithRSAEncryption'
90000,only-znakomstva.com,Let's Encrypt,89,EC,256,none,b'ecdsa-with-SHA384'
91000,gamewatcher.com,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
92000,gerberchildrenswear.com,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
96000,scaledagile.com,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
97000,theacademicpapers.co.uk,GlobalSign nv-sa,396,RSA,2048,65537,b'sha256WithRSAEncryption'
98000,charmfling.com,Google Trust Services LLC,89,RSA,2048,65537,b'sha256WithRSAEncryption'
101000,qubic.li,Let's Encrypt,89,EC,256,none,b'ecdsa-with-SHA384'
102000,iress.co.uk,Amazon,394,RSA,2048,65537,b'sha256WithRSAEncryption'
104000,omp.ru,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
